Species,Genome Size (bp)
Paguma larvata circovirus,2077
Circovirus gnaver,2080
Marmot associated feces virus 4,2085
Apteryx rowi circovirus-like virus,2085
Plant associated genomovirus 26,2086
Cyanoramphus nest associated circular K DNA virus,2087
Oidiodendron maius ourmia-like virus 1,2087
McMurdo Ice Shelf pond-associated circular DNA virus-1,2089
Mongoose feces-associated gemycircularvirus a,2089
Sewage-associated circular DNA virus-20,2089
Giardia-associated CRESS DNA virus 2,2092
Giardia-associated CRESS DNA virus 1,2093
Giant house spider associated circular virus 1,2093
uncultured virus,2093
Bat associated circovirus 5,2094
Avon-Heathcote Estuary associated circular virus 6,2096
Capybara genomovirus 4,2099
Botrytis cinerea ourmia-like virus 7,2100
Wilkie partiti-like virus 1,2100
Plasmopara viticola lesion associated ourmia-like virus 79,2101
Giardia-associated CRESS DNA virus 4,2102
Circovirus-like genome DCCV-12,2103
Fly associated circular virus 6,2103
Lepus americanus faeces associated genomovirus SHP9,2104
Torque teno Leptonychotes weddellii virus-2,2105
Bark beetle-associated genomovirus 2,2106
Plant associated genomovirus 21,2107
Zizania latifolia genomoviridae,2108
Gemycircularvirus C1c,2109
Avon-Heathcote Estuary associated circular virus 22,2109
Bamboo rat circovirus,2112
Sewage-associated circular DNA virus-3,2112
Badger associated gemykibivirus 1,2112
Bat circovirus,2113
Sewage-associated gemycircularvirus 4,2115
Circovirus kiore,2120
Lynx canadensis faeces associated genomovirus CL1 46,2121
Dragonfly larvae associated circular virus-4,2121
HCBI9.212 virus,2121
Finch associated genomovirus 8,2121
Bark beetle-associated genomovirus 4,2122
Faeces associated gemycircularvirus 12,2122
Northern red-backed vole stool-associated circular virus 116,2122
Bark beetle-associated genomovirus 1,2123
Mongoose feces-associated gemycircularvirus c,2123
Bark beetle-associated genomovirus 3,2125
Pimoid spider associated circular virus 2,2125
Lama associated gemycircularvirus 1,2125
Euphorbia heterophylla associated gemycircularvirus,2125
Torque teno Arctocephalus gazella virus 2,2127
Tentweb spider associated circular virus 1,2127
Plant associated genomovirus 22,2129
Blackbird associated gemykibivirus 1,2130
Blackfly genomovirus 2,2131
Lepus americanus faeces associated genomovirus SHP111,2134
Circovirus rongeur,2134
Circovirus roditore,2135
Plasmopara viticola lesion associated ourmia-like virus 43,2135
Plant associated genomovirus 23,2136
Sewage associated gemycircularvirus 3,2136
Pteropus associated gemycircularvirus 9,2140
Torque teno zalophus virus 1,2140
Alces alces faeces associated genomovirus MP43,2141
Avon-Heathcote Estuary associated circular virus 25,2142
Lepus americanus faeces associated genomovirus SHP7,2142
Chicken genomovirus mg4_1247,2142
Chicken stool-associated gemycircularvirus,2143
Odonata associated gemycircularvirus 1,2145
Olive associated gemycircularvirus 1,2145
Sewage-associated gemycircularvirus 6,2147
Seal anellovirus 2,2149
Plant associated genomovirus 24,2150
Circovirus rosegador,2151
Sonfela circovirus 2,2151
Bovine associated gemykibivirus 1,2152
Termite associated circular virus 4,2152
Poecile atricapillus GI tract-associated gemycircularvirus,2152
Finch associated genomovirus 4,2153
Rhinolophus associated gemykibivirus 1,2153
Bat gemycircularvirus,2154
Sewage-associated circular DNA virus-37,2155
Pteropus associated gemycircularvirus 7,2155
Termite associated circular virus 1,2156
Citrus Tunisia genomovirus 2,2156
Faeces associated gemycircularvirus 11,2159
Alces alces faeces associated genomovirus MP111,2159
Plant associated genomovirus 17,2160
Circovirus-like genome CB-A,2160
Chicken genomovirus mg7_78,2160
Plant associated genomovirus 25,2161
Avon-Heathcote Estuary associated circular virus 12,2161
Circovirus-like genome RW-A,2162
Alces alces faeces associated genomovirus MP157,2162
Faeces associated gemycircularvirus 22,2164
Seal anellovirus TFFN/USA/2006,2164
Lake Sarah-associated circular virus-34,2164
Sclerotinia sclerotiorum hypovirulence associated DNA virus 1,2166
Lytechinus variegatus variable sea urchin associated circular virus,2167
Plant associated genomovirus 5,2167
Seal anellovirus 3,2169
Plasmopara viticola lesion associated ourmia-like virus 42,2170
Capybara genomovirus 12,2171
Amygdalus persica genomoviridae,2171
Plant associated genomovirus 11,2172
Pteropus associated gemycircularvirus 3,2172
Chicken genomovirus mg4_1218,2173
Tubeweb spider associated circular virus 1,2174
Black robin associated gemykibivirus 1,2174
Lake Sarah-associated circular virus-51,2175
Faeces associated gemycircularvirus 2,2175
Alces alces faeces associated genomovirus MP84,2175
Woodlouse hunter spider associated circular virus 1,2176
Capybara genomovirus 1,2177
Sonfela circovirus 1,2181
Blackfly genomovirus 4,2181
Thrips-associated genomovirus 2,2182
Blackfly genomovirus 5,2182
Chicken genomovirus mg8_401,2183
Capybara genomovirus 6,2183
Plant associated genomovirus 4,2184
Avon-Heathcote Estuary associated circular virus 8,2184
Pteropus associated gemycircularvirus 8,2185
Finch associated genomovirus 6,2185
Gerygone associated gemycircularvirus 2,2187
Circovirus-like genome DCCV-2,2187
Gemycircularvirus gemy-ch-rat1,2188
Lynx canadensis faeces associated genomovirus CL1 148,2188
Chicken genomovirus mg7_73,2189
Mongoose feces-associated gemycircularvirus b,2189
Odonata associated gemycircularvirus 2,2190
Pacific flying fox faeces associated gemycircularvirus-10,2191
Citrus Tunisia genomovirus 1b,2191
Lake Sarah-associated circular virus-33,2191
Cressdnaviricota sp.,2191
Miniopterus associated gemycircularvirus 1,2193
Sewage-associated gemycircularvirus 2,2193
Plasmopara viticola lesion associated ourmia-like virus 78,2193
Fusarium circinatum mitovirus 2-1,2193
Faeces associated gemycircularvirus 14,2194
Varroa mite associated genomovirus 1,2194
Momordica charantia associated gemycircularvirus,2195
Plant associated genomovirus 2,2195
Blackfly genomovirus 7,2195
Sewage derived gemycircularvirus 2,2196
Thrips-associated genomovirus 3,2196
Tick-associated genomovirus 2,2196
Torque teno equus virus 1,2197
Blackbird associated gemycircularvirus 1,2197
Holcus lanatus-associated virus,2197
Capybara genomovirus 2,2198
Artemisia carvifolia genomoviridae,2198
Lake Sarah-associated circular virus-11,2198
Gerygone associated gemycircularvirus 3,2199
Gemycircularvirus SL1,2199
Bemisia-associated genomovirus AdDF,2199
Plant associated genomovirus 29,2199
False black widow spider associated circular virus 1,2199
Torque teno tupaia virus,2199
Hypericum japonicum associated circular DNA virus,2200
Tortoise genomovirus 10,2200
Lynx canadensis faeces associated genomovirus CL5 48,2201
Torque teno Leptonychotes weddellii virus-1,2201
Human gemycircularvirus GeTz1,2202
Tortoise genomovirus 9,2202
Odonata-associated circular virus-15,2203
Oxalis corniculata genomoviridae,2204
Plant associated genomovirus 9,2204
Porcine feces-associated gemycircularvirus,2204
Bark beetle-associated genomovirus 5,2205
Pteropus associated gemycircularvirus 5,2205
Lake Sarah-associated circular virus-8,2205
Capybara genomovirus 8,2206
Plasmopara viticola lesion associated ourmia-like virus 41,2206
Northern red-backed vole stool-associated circular virus 16,2207
Dragonfly-associated circular virus 3,2208
Thrips-associated genomovirus 1,2208
Pteropus associated gemycircularvirus 10,2209
Hubei tombus-like virus 27,2209
Bemisia-associated genomovirus AdO,2211
Lynx canadensis faeces associated genomovirus CL1 71,2211
Finch associated genomovirus 5,2211
Avon-Heathcote Estuary associated circular virus 13,2212
Mosquito VEM virus SDRBAJ,2212
Gopherus associated genomovirus 1,2213
Finch associated genomovirus 1,2213
Northern red-backed vole stool-associated gemycircularvirus 110,2214
Plasmopara viticola lesion associated ourmia-like virus 40,2215
Chicken genomovirus mg4_1173,2216
Blackfly genomovirus 8,2217
Spider associated circular virus 1,2217
Pacific flying fox faeces associated gemycircularvirus-7,2217
Gyrovirus GyV8,2218
Macrophomina phaseolina ourmia-like virus 2,2218
Meles meles circovirus-like virus,2218
Apis mellifera genomovirus 2,2218
Cassava associated gemycircularvirus 1,2220
Rodent stool-associated circular genome virus,2220
Termite associated circular virus 3,2220
Common bean-associated gemycircularvirus,2220
Pacific flying fox faeces associated gemycircularvirus-6,2220
Sewage-associated circular DNA virus-34,2220
Termite associated circular virus 2,2222
Chicken genomovirus mg4_1165,2222
Seal anellovirus 4,2223
Hubei sobemo-like virus 24,2223
Culex circovirus-like virus,2224
Fur seal associated gemycircularvirus 1,2224
Dragonfly associated gemykibivirus 1,2225
Faeces associated gemycircularvirus 15,2226
Hubei narna-like virus 24,2226
Blackfly genomovirus 9,2226
Faeces associated gemycircularvirus 10,2229
Mouse associated cyclovirus 1,2229
Faeces associated gemycircularvirus 17,2230
Pteropus associated gemycircularvirus 6,2230
Bemisia-associated genomovirus NfO,2231
Ancient caribou feces associated virus,2231
Caribou associated gemykrogvirus 1,2232
Sierra dome spider associated circular virus 1,2232
Pacific flying fox faeces associated gemycircularvirus-1,2233
Sewage derived gemycircularvirus 1,2234
Sewage-associated gemycircularvirus 1,2234
Soybean associated gemycircularvirus 1,2234
Rodent Torque teno virus 1,2235
Human genital-associated circular DNA virus-1,2235
Dragonfly-associated circular virus 2,2236
Finch associated genomovirus 2,2236
Sewage-associated gemycircularvirus-7b,2237
Littorina sp. associated circular virus,2237
Plant associated genomovirus 7,2237
Bromus-associated circular DNA virus 3,2238
Mosquito VEM virus SDBVL G,2238
Lupine feces-associated gemycircularvirus 2,2238
Tick-associated genomovirus 3,2238
Capybara genomovirus 3,2239
Giant panda associated gemycircularvirus,2240
Plasmopara viticola lesion associated ourmia-like virus 77,2240
Faeces associated gemycircularvirus 18,2240
Canine feces-associated gemycircularvirus,2240
Finch associated genomovirus 3,2242
Thrips-associated genomovirus 4,2243
Sewage-associated gemycircularvirus 5,2243
Water beetle associated circular virus 1,2244
Sewage-associated circular DNA virus-10,2246
Hubei narna-like virus 23,2247
Faeces associated gemycircularvirus 20,2247
Plasmopara viticola lesion associated ourmia-like virus 76,2247
Alces alces faeces associated genomovirus MP68,2249
Sewage-associated gemycircularvirus-10a,2249
Small anellovirus 1,2249
Dragonfly larvae associated circular virus-3,2249
Pacific flying fox faeces associated gemycircularvirus-2,2250
Plant associated genomovirus 13,2250
Pteropus associated gemycircularvirus 4,2250
Magnaporthe oryzae botourmiavirus 2,2250
Mongoose feces-associated gemycircularvirus d,2251
Hubei narna-like virus 18,2252
Poaceae associated gemycircularvirus 1,2253
Dragonfly larvae associated circular virus-7,2253
Sewage-associated circular DNA virus-36,2254
Avon-Heathcote Estuary associated circular virus 14,2255
Pleurochrysis carterae circular virus,2255
Tortoise genomovirus 17,2255
Lake Sarah-associated circular virus-27,2256
Capybara genomovirus 5,2257
Plant associated genomovirus 20,2257
Palaemonetes sp. common grass shrimp associated circular virus,2257
MSSI2.225 virus,2259
Lake Sarah-associated circular virus-26,2259
Dragonfly larvae associated circular virus-10,2259
Plasmopara viticola lesion associated ourmia-like virus 60,2259
Gemycircularvirus HV-GcV2,2262
Circoviridae 16 LDMD-2013,2262
Gemycircularvirus HV-GcV1,2264
Plant associated genomovirus 15,2265
Gopherus associated circular DNA virus 1,2270
Plasmopara viticola lesion associated ourmia-like virus 75,2270
Human associated gemyvongvirus 1,2272
Sewage-associated gemycircularvirus 9,2273
Plant associated genomovirus 1,2273
Hubei narna-like virus 19,2275
Cladosporium cladosporioides ourmia-like virus 2,2276
Sewage-associated gemycircularvirus-7a,2277
Gemycircularvirus sp.,2277
Tortoise genomovirus 13,2280
Shahe narna-like virus 7,2281
Gyrovirus Tu789,2282
Hubei tombus-like virus 26,2286
Gerygone associated gemycircularvirus 1,2288
Sewage-associated circular DNA virus-18,2290
Mallard associated gemycircularvirus 1,2290
Giant house spider associated circular virus 3,2290
Blackfly genomovirus 1,2290
Hermit crab associated circular virus,2291
Plasmopara viticola lesion associated ourmia-like virus 74,2291
Paramuricea placomus associated circular virus,2292
Palaemonetes intermedius brackish grass shrimp associated circular virus,2293
Lolium perenne-associated virus,2293
Circoviridae 21 LDMD-2013,2296
Stipagrostis associaed virus,2296
Fusarium poae narnavirus 1,2297
Entomophthora muscae mitovirus 7,2300
Lake Sarah-associated circular virus-2,2301
Lake Sarah-associated circular virus-7,2304
Marine snail associated circular virus,2305
Avon-Heathcote Estuary associated circular virus 11,2307
Faeces associated gemycircularvirus 19,2308
Sanxia water strider virus 13,2308
Plasmopara viticola lesion associated ourmia-like virus 51,2308
Cyanoramphus nest associated circular X DNA virus,2308
Sewage-associated circular DNA virus-23,2309
Lynx canadensis faeces associated genomovirus CL1 48,2309
Grasshopper associated circular virus 1,2309
Pacific flying fox faeces associated gemycircularvirus-12,2310
Fusarium oxysporum f. sp. dianthi mitovirus 1,2313
Plasmopara viticola lesion associated ourmia-like virus 27,2315
Plasmopara viticola lesion associated ourmia-like virus 39,2315
Beihai narna-like virus 26,2317
Chicken anemia virus,2319
Chifec virus UA15_2320,2320
Circovirus-like genome DCCV-10,2320
Longjawed orbweaver circular virus 2,2321
Rodent Torque teno virus 8,2325
Magnaporthe oryzae botourmiavirus 7,2326
Plant associated genomovirus 3,2326
Plasmopara viticola lesion associated ourmia-like virus 73,2327
Hubei tombus-like virus 30,2328
Plasmopara viticola lesion associated ourmia-like virus 26,2329
Ophiostoma mitovirus 3b,2332
Plasmopara viticola lesion associated ourmia-like virus 38,2336
mosquito VEM Anellovirus SDBVL,2336
Sewage-associated circular DNA virus-11,2336
Capybara associated smacovirus 1_cap1_104,2338
Plasmopara viticola lesion associated ourmia-like virus 71,2338
Eumops bonariensis associated cyclovirus 1,2339
Plasmopara viticola lesion associated ourmia-like virus 25,2339
Plasmopara viticola lesion associated ourmia-like virus 72,2339
Caesalpinia ferrea associated virus,2342
Ophiostoma mitovirus 6,2343
Human fecal virus Jorvi4,2343
Cybaeus spider associated circular virus 2,2344
Plasmopara viticola lesion associated ourmia-like virus 24,2347
Gastropod associated circular ssDNA virus,2351
Plasmopara viticola lesion associated ourmia-like virus 81,2352
Plasmopara viticola lesion associated ourmia-like virus 37,2352
Deer faeces associated circular DNA virus 1,2355
Chimpanzee faeces associated circular DNA molecule 1,2356
Plasmopara viticola lesion associated ourmia-like virus 36,2357
Plant associated genomovirus 19,2358
Gyrovirus GyV3,2359
Genomoviridae sp.,2360
Entomophthora muscae mitovirus 6,2362
Plasmopara viticola lesion associated ourmia-like virus 59,2363
Magnaporthe oryzae ourmia-like virus,2364
Plasmopara viticola lesion associated ourmia-like virus 61,2366
Torque teno Tadarida brasiliensis virus,2367
Circovirus-like genome DHCV-6,2369
Tick-associated genomovirus 1,2373
Hubei narna-like virus 25,2375
Rodent Torque teno virus 7,2379
Bat associated cyclovirus 7,2379
Avian gyrovirus 2,2383
Niminivirus,2383
Faeces associated gemycircularvirus 16,2384
Magnaporthe oryzae botourmiavirus 6,2385
Okra leaf curl virus,2386
Plasmopara viticola lesion associated ourmia-like virus 23,2386
Fusarium poae mitovirus 4,2387
Hymenoscyphus fraxineus mitovirus 1,2387
Human associated porprismacovirus 3,2388
Circoviridae 3 LDMD-2013,2389
Neofusicoccum luteum mitovirus 1,2389
Plasmopara viticola lesion associated ourmia-like virus 22,2393
Ashy storm petrel gyrovirus,2394
Fusarium poae mitovirus 1,2397
Dragonfly larvae associated circular virus-2,2398
Porcine associated porprismacovirus 4,2403
Plasmopara viticola lesion associated ourmia-like virus 3,2404
Chicken associated huchismacovirus 1,2408
Plasmopara viticola lesion associated ourmia-like virus 50,2408
Feline anellovirus,2409
Helicobasidium mompa mitovirus 1-18,2411
Plasmopara viticola lesion associated ourmia-like virus 49,2412
Fusarium globosum mitovirus 1,2414
